,,,,,,,,
,,,,,,,,
Card Name,Base Earn Rate (%),Travel Portal,Vouchers,Hotel,Flights,Special merchant,Status,Column 1
American Express Platinum Travel Credit Card,2,Amex Reward Multiplier,6,6,6,,Keep,
American Express Membership Rewards Credit Card,2,Amex Reward Multiplier,4,4,4,,Keep,
American Express Gold Charge Card,2,Amex Reward Multiplier,10,10,10,,Keep,
American Express Platinum Reserve Credit Card,2,Amex Reward Multiplier,6,6,6,,Keep,
American Express SmartEarn Credit Card,2,Amex Reward Multiplier,4,4,4,,Keep,
American Express Platinum Charge Card,2.5,Amex Reward Multiplier,10,10,10,,Keep,
AU Bank LIT Credit Card,0.25,—,—,,,,Ignore,
AU Bank Zenith+ Credit Card,1,—,—,,,,Ignore,
AU Bank Xcite Ace Credit Card,1,—,—,,,,Ignore,
AU Bank Vetta Credit Card,0.5,—,—,,,,Ignore,
AU Bank Zenith Credit Card,0.25,—,—,,,,Ignore,
AU Bank Xcite Credit Card,0.2,—,—,,,,Ignore,
AU Bank Xcite Ultra Credit Card,0.25,—,—,,,,Ignore,
AU Bank Altura Credit Card,1,—,—,,,,Ignore,
Axis Bank Horizon Credit Card,2,Travel EDGE,5,5,,,Keep,
Axis Bank Cashback Credit Card,3,na,3,3,,,Keep,
Flipkart Axis Bank Credit Card,1,Flipkart,1,1,,"Swiggy, Uber, PVR, Cult.fit - 4%, Myntra - 7.5% & Flipkart & Clear Trip - 5%",Keep,
Axis Bank Select redit Card,5,na,5,5,,,Keep,
Axis Bank Privilege Credit Card,5,na,5,5,,,Keep,
Airtel Axis Bank Credit Card,1,—,—,,,,Ignore,
Axis Atlas,2,Travel EDGE,5,5,,,Keep,
Axis Bank MY Zone Credit Card,2,na,2,2,,,Keep,
Axis Bank Neo Credit Card,0.5,na,0.5,0.5,,,Keep,
 Axis Magnus,6,Travel EDGE,30,30,,,Keep,
Axis Bank Rewards Credit Card,1.6,—,1.6,1.6,,,Keep,
IndianOil Axis Bank Premium Credit Card,0.6,—,—,,,,Ignore,
Bank of Baroda Premier Credit Card,0.5,—,—,,,,Ignore,
Bank of Baroda Cashback Credit Card,1,—,—,,,,Ignore,
Bank of Baroda Eterna Credit Card,3.75,—,3.75,,,"Travel, Dining & Int’l, Shopping",Ignore,
HPCL Bank of Baroda ENERGIE Credit Card,0.3,—,—,,,,Ignore,
Bank of Baroda Easy Credit Card,0.25,—,—,,,,Ignore,
Bank of Baroda Select Credit Card,0.2,—,—,,,,Ignore,
Federal Bank Celesta Credit Card,0.25,—,—,,,,Ignore,
HDFC Bank Infinia Credit Card,3.33,HDFC SmartBuy,16.65,33.3,16.65,,Keep,
HDFC Diners Club Black Metal Edition Credit Card,3.33,HDFC SmartBuy,16.65,33.3,16.65,,Keep,
HDFC Bank Regalia Gold Credit Card,2.5,HDFC SmartBuy,12.5,25,12.5,,Keep,
HDFC Bank Regalia Credit Card,2.5,HDFC SmartBuy,12.5,25,12.5,,Keep,
HDFC Bank Diners Club Privilege Credit Card,2.5,HDFC SmartBuy,12.5,25,12.5,Swiggy & Zomato (Food): 12.5% reward points,Keep,
HDFC Bank Millennia Credit Card,1,HDFC SmartBuy,5,5,5,"

Millennia — 5% Cashback Merchants
The 10 partner merchants giving 5% cashback are: Amazon, BookMyShow, Cult.fit, Flipkart, Myntra, Sony LIV, Swiggy, Tata CLiQ, Uber, and Zomato.",Keep,
HDFC Bank MoneyBack Plus Credit Card,1.33,HDFC SmartBuy,5,5,5,"Amazon, BigBasket, Flipkart, Reliance Smart Superstore, and Swiggy  - 13.3%",Keep,
Swiggy HDFC Bank Credit Card,1,NA,1,1,1,"Instamart, Dineout - 10%",Keep,
Tata Neu Infinity HDFC Bank Credit Card,1.5,Tata Nue,5,5,5,"Big basket, Croma, Westside - 5%",Keep,
Tata Neu Plus Credit Card,1,Tata Nue,2,2,2,"Big basket, Croma, Westside - 2%",,
Biz Black,3.33,HDFC SmartBuy,9.75,33,16.5,,Keep,
Biz Power,2.5,HDFC SmartBuy,9,25,12.5,,Keep,
HSBC TravelOne Credit Card,2,Hopper,2,16,24,,Keep,
HSBC Visa Platinum Credit Card,1.5,Hopper,1.5,6,9,"10% Cashback on Dining, Grocery & Food Delivery",Keep,
HSBC Live+ Credit Card,1.5,Hopper,1.5,6,9,"10% Cashback on Dining, Grocery & Food Delivery",Keep,
HSBC Premier Credit Card,3,Hopper,3,18,36,,Keep,
HSBC RuPay Cashback Credit Card,1,Hopper,1.5,6,9,,Keep,
IndianOil Kotak Credit Card,0.5,—,—,,,,Ignore,
Myntra Kotak Credit Card,1.25,—,—,,,,Ignore,
Kotak White Reserve Credit Card,1.6,—,—,,,,Ignore,
Kotak Bank 811 Credit Card,0.25,—,—,,,,Ignore,
Kotak Bank White Credit Card,1,—,—,,,,Ignore,
Kotak Bank Zen Signature Credit Card,0.8,—,—,,,,Ignore,
IndianOil RBL Bank Credit Card,10,na,—,,,Only fuel - IOCL,Keep,Hard code
IndianOil RBL Bank XTRA Credit Card,15,na,—,,,Only fuel - IOCL,Keep,Hard code
Air India SBI Platinum,2%,na,0.02,2%,2%,,,
Air India SBI Signature,4%,na,0.04,4%,4%,,,
Apollo SBI Card,1%,na,0.01,1%,1%,,,
BPCL SBI Card,1%,na,0.01,1%,1%,,,
Etihad Guest SBI Card,1%,na,0.01,1%,1%,,,
KrisFlyer SBI Card Apex,3%,na,0.03,3%,3%,,,
IRCTC SBI Platinum Credit Card,0.8,,—,—,,,Ignore,
IRCTC SBI Premier Credit Card,0.8,,—,—,,,Ignore,
PULSE SBI Card,2%,na,0.02,2%,2%,,,
SBI Card ELITE,2%,na,0.02,2%,2%,,,
SBI Card PRIME,2%,na,0.02,2%,2%,,,
SimplyCLICK SBI Card (offline),1%,na,0.01,1%,1%,,,
SimplyCLICK SBI Card (online),5%,na,0.05,5%,5%,,,
Standard Chartered Smart Credit Card,1,—,—,,,,Ignore,
Standard Chartered Rewards Credit Card,0.17,—,—,,,,Ignore,
Standard Chartered EaseMyTrip Credit Card,0.5,—,—,,,,Ignore,
Standard Chartered Platinum Rewards Credit Card,0.1,—,—,,,,Ignore,
Standard Chartered Ultimate Credit Card,3,na,3,3,3,,Keep,
Standard Chartered Super Value Titanium Credit Card,0.2,—,—,,,,Ignore,
Yes Bank Select Credit Card,0.25,—,—,,,,Ignore,
Yes Bank Marquee Credit Card,1.25,—,—,,,,Ignore,
Yes Bank Ace Credit Card,0.25,—,—,,,,Ignore,
Yes Bank Reserv Credit Card,0.75,—,—,,,,Ignore,
Yes Bank ELITE Credit Card,0.5,—,—,,,,Ignore,
ICICI Times Black,2%,Ishop,12%,12%,24%,,Keep,
ICICI Emeralde Private Metal,3%,Ishop,18%,18%,36%,,Keep,
ICICI Emeralde (Regular),4%,Ishop,24%,24%,48%,,Keep,
ICICI Sapphiro,2%,Ishop,12%,12%,24%,,Keep,
ICICI Rubyx,2%,Ishop,12%,12%,24%,,Keep,
ICICI Coral,2%,Ishop,12%,12%,24%,,Keep,
ICICI Platinum,2%,Ishop,12%,12%,24%,,Keep,
ICICI Amazon ,1%,Amazon ,5%,5%,5%,Amazon - 5%,Keep,