"Bank","Card","Vouchers","Travel Booking - Flights","Travel Booking - Hotels","Airlines","Hotels","Convert to Cash","Product Store","Generated Card"
"American Express","American Express Gold Card","0.58","","","","","","","American Express Gold Charge Card"
"American Express","American Express Membership Rewards Credit Card","0.58","","","","","","","American Express Membership Rewards Credit Card"
"American Express","American Express Platinum Card","0.25","0.25","0.25","0.50","1.00","0.25","0.25","American Express Platinum Charge Card"
"American Express","American Express Platinum ReserveSM Credit Card","0.25","0.25","0.25","0.50","1.00","0.25","0.25","American Express Platinum Reserve Credit Card"
"American Express","American Express Platinum Travel Credit Card","0.25","0.25","0.25","0.50","1.00","0.25","0.25","American Express Platinum Travel Credit Card"
"American Express","American Express SmartEarn Credit Card","0.25","0.25","0.25","0.50","1.00","0.25","0.25","American Express SmartEarn Credit Card"
"AU Bank","AU Altura Credit Card","","","","","","1.00","",""
"AU Bank","AU Business Cashback Credit Card","","","","","","1.00","",""
"AU Bank","AU Zenith Credit Card","0.25","0.25","0.25","0.25","0.25","","0.25",""
"AU Bank","AU Zenith Plus Credit Card","1.00","1.00","1.00","1.00","1.00","","1.00",""
"AU Bank","Ixigo AU Credit Card","0.25","0.25","0.25","0.25","0.25","","0.25",""
"Axis Bank","Airtel Axis Bank Credit Card","","","","","","1.00","",""
"Axis Bank","Axis Bank Ace Credit Card","","","","","","1.00","",""
"Axis Bank","Axis Bank Atlas Visa Credit Card","","","","2.00","2.00","","","Axis Atlas"
"Axis Bank","Axis Bank Aura Credit Card","0.20","","","","","","0.20",""
"Axis Bank","Axis Bank BUZZ","0.20","","","","","0.20","0.20",""
"Axis Bank","Axis Bank Horizon Credit Card","0.20","","","1.00","1.00","","0.20","Axis Bank Horizon Credit Card"
"Axis Bank","Axis Bank Magnus Mastercard Credit Card","0.20","","","0.40","0.40","0.20","0.20","Axis Magnus"
"Axis Bank","Axis Bank My Zone","0.20","","","","","0.20","0.20",""
"Axis Bank","Axis Bank MY Zone Mastercard Credit Card","0.20","","","","","0.20","0.20","Axis Bank MY Zone Credit Card"
"Axis Bank","Axis Bank Neo","0.20","","","","","0.20","0.20","Axis Bank Neo Credit Card"
"Axis Bank","Axis Bank REWARDS Credit Card","0.20","","","0.20","0.20","","0.20","Axis Bank Rewards Credit Card"
"Axis Bank","Axis Bank Select Visa Credit Card","","","","0.20","0.20","","","Axis Bank Select Credit Card"
"Axis Bank","Axis Bank Shopper Stop Credit Card","0.50","","","","","","",""
"Axis Bank","Axis Bank Signature Credit Card","0.20","","","","","","0.20",""
"Axis Bank","Axis Privilege Visa Credit Card","0.20","","","0.20","0.20","0.20","0.20","Axis Bank Privilege Credit Card"
"Axis Bank","Axis Reserve Credit Card","0.20","","","0.40","0.50","","0.20",""
"Axis Bank","Flipkart Axis Bank Credit Card","","","","","","1.00","","Flipkart Axis Bank Credit Card"
"Axis Bank","IndianOil Axis Bank Credit Card","0.20","","","","","0.20","0.20",""
"Axis Bank","IndianOil Axis Bank RuPay Credit Card","0.20","","","","","0.20","0.20",""
"Axis Bank","IndianOil Axis Premium Credit Card","0.20","0.20","0.20","0.50","0.50","","0.20",""
"Bank of Baroda","Bank of Baroda Easy Credit Card","","","","","","0.20","",""
"Bank of Baroda","Bank of Baroda Premier Credit Card","","","","","","0.25","",""
"Bank of Baroda","Bank of Baroda Select Credit Card","","","","","","0.20","",""
"Federal Bank","AmpliFi Credit Card","0.03","","","","","0.03","0.03",""
"Federal Bank","MagniFi Credit Card","0.03","","","","","0.03","0.03",""
"HDFC Bank","6E Rewards Indigo HDFC Bank Credit Card","","1.00","","1.00","","","",""
"HDFC Bank","6E Rewards XL Indigo HDFC Bank Credit Card","","1.00","","1.00","","","",""
"HDFC Bank","Corporate Credit Card","0.30","","","0.30","0.30","","0.30",""
"HDFC Bank","Corporate Platinum Credit Card","0.30","","","0.30","0.30","","0.30",""
"HDFC Bank","HDFC Bank Biz Black","0.50","1.00","1.00","1.00","","0.30","1.00","Biz Black"
"HDFC Bank","HDFC Bank Biz First","0.15","0.15","0.15","","","0.15","0.20",""
"HDFC Bank","HDFC Bank Biz Grow","0.25","0.25","0.25","","","0.25","0.30",""
"HDFC Bank","HDFC Bank Biz Power","0.35","0.50","0.50","0.50","","0.20","0.35","Biz Power"
"HDFC Bank","HDFC Bank Business MoneyBack Credit Card","0.25","","","0.25","","0.20","0.25",""
"HDFC Bank","HDFC Bank Business Regalia Credit Card","0.35","","","0.50","","0.20","0.35",""
"HDFC Bank","HDFC Bank Diners Club Black Credit Card","0.50","1.00","1.00","1.00","1.00","0.30","0.50",""
"HDFC Bank","HDFC Bank Diners Club Black METAL Edition Credit Card","0.50","1.00","1.00","1.00","1.00","0.30","0.50","HDFC Diners Club Black Metal Edition Credit Card"
"HDFC Bank","HDFC Bank EasyEMI Credit Card","0.30","","","","","1.00","0.30",""
"HDFC Bank","HDFC Bank Infinia Credit Card -Visa","0.50","1.00","1.00","1.00","1.00","0.30","0.50","HDFC Bank Infinia Credit Card"
"HDFC Bank","HDFC Bank MoneyBack+ Credit Card","0.25","0.25","0.25","0.25","","0.25","0.25","HDFC Bank MoneyBack Plus Credit Card"
"HDFC Bank","HDFC Bank PIXEL GO Credit Card","1.00","","","","","","",""
"HDFC Bank","HDFC Bank Pixel Play Credit Card","1.00","","","","","","",""
"HDFC Bank","HDFC Bank Regalia Credit Card","0.35","0.50","0.50","0.50","0.50","0.20","0.35","HDFC Bank Regalia Credit Card"
"HDFC Bank","HDFC Bank Regalia Gold Credit Card","0.35","0.50","0.50","0.50","0.50","0.20","0.35","HDFC Bank Regalia Gold Credit Card"
"HDFC Bank","HDFC Bank RuPay Biz Grow","0.25","0.25","0.25","0.25","","0.25","0.25",""
"HDFC Bank","HDFC Bank RuPay Biz Power","0.35","0.50","0.50","0.50","","0.20","0.35",""
"HDFC Bank","HDFC Bank Times Platinum Credit Card","","","","","","0.15","",""
"HDFC Bank","HDFC Bank Times Titanium Credit Card","","","","","","0.10","",""
"HDFC Bank","HDFC Bharat Cashback Card","","","","","","1.00","",""
"HDFC Bank","HDFC Diners Club Privilege","0.50","0.50","0.50","","","0.20","0.35","HDFC Bank Diners Club Privilege Credit Card"
"HDFC Bank","HDFC Freedom Card","0.15","0.15","0.15","0.15","","0.15","0.15",""
"HDFC Bank","HDFC Moneyback Credit Card","0.25","","","0.25","","0.20","0.25",""
"HDFC Bank","HDFC Platinum Edge Credit Card","0.10","","","0.10","","0.10","0.10",""
"HDFC Bank","HDFC UPI Rupay Credit Card","0.25","0.25","0.25","0.25","","0.25","0.25",""
"HDFC Bank","IndianOil HDFC Bank Credit Card","0.96","","","","","0.20","0.20",""
"HDFC Bank","IRCTC HDFC Bank Credit Card","","","","","","","",""
"HDFC Bank","Marriott Bonvoy HDFC Bank Credit Card","","","","","1.00","","",""
"HDFC Bank","Millennia HDFC Credit Card","0.30","0.30","0.30","0.30","","1.00","0.30",""
"HDFC Bank","Shoppers Stop Black HDFC Bank Credit Card","1.00","0.50","0.50","0.50","0.50","0.20","0.35",""
"HDFC Bank","Shoppers Stop HDFC Bank Credit Card","1.00","0.20","0.20","0.25","0.25","0.20","0.25",""
"HDFC Bank","Swiggy HDFC Bank Credit Card","","","","","","1.00","","Swiggy HDFC Bank Credit Card"
"HDFC Bank","TATA Neu Infinity HDFC Bank Credit Card Visa","1.00","","","","","","","Tata Neu Infinity HDFC Bank Credit Card"
"HDFC Bank","Tata Neu Plus HDFC Bank Credit Card Rupay","1.00","","","","","","",""
"HSBC Bank","HSBC Cashback Credit Card","","","","","","1.00","","HSBC RuPay Cashback Credit Card"
"HSBC Bank","HSBC Live+ Credit Card","","","","","","1.00","","HSBC Live+ Credit Card"
"HSBC Bank","HSBC Premier MasterCard Credit Card","1.00","","","1.00","","","","HSBC Premier Credit Card"
"HSBC Bank","HSBC Smart Value Credit Card","0.50","","","0.50","","","",""
"HSBC Bank","HSBC Visa Platinum Credit Card","0.25","","","0.50","","","","HSBC Visa Platinum Credit Card"
"ICICI Bank","Adani One ICICI Platinum Credit Card","1.00","","","","","","1.00",""
"ICICI Bank","Adani One ICICI Signature Credit Card","1.00","","","","","","1.00",""
"ICICI Bank","Emirates Skywards ICICI Bank Emeralde Credit Card","","","","1.00","1.00","","",""
"ICICI Bank","Emirates Skywards ICICI Bank Rubyx Credit Card","","","","1.00","1.00","","",""
"ICICI Bank","Emirates Skywards ICICI Bank Sapphiro Credit Card","","","","1.00","1.00","","",""
"ICICI Bank","ICICI Amazon Pay Credit Card","","","","","","1.00","","ICICI Amazon"
"ICICI Bank","ICICI Bank Emeralde Credit Card","0.20","","","","","","0.20","ICICI Emeralde (Regular)"
"ICICI Bank","ICICI Bank Emeralde Private Metal Credit Card","1.00","","","","","0.40","0.60","ICICI Emeralde Private Metal"
"ICICI Bank","ICICI Bank HPCL Super Saver Credit Card","0.25","","","","","","0.25",""
"ICICI Bank","ICICI Bank Rubyx Credit Card","0.25","","","","","0.25","0.25","ICICI Rubyx"
"ICICI Bank","MakeMyTrip ICICI Bank Credit Card","","","","","","","",""
"ICICI Bank","MakeMyTrip ICICI Bank Signature Credit Card","1.00","1.00","1.00","","","","",""
"ICICI Bank","MMT ICICI Bank Platinum Credit Card","1.00","1.00","1.00","","","","",""
"IDFC First Bank","First Millennia Credit Card","","","","","","0.25","",""
"IDFC First Bank","First Wealth Credit Card","0.25","","","","","","0.25",""
"IDFC First Bank","IDFC First Ashva Credit Card","0.25","","","","","0.25","0.25",""
"IDFC First Bank","IDFC First Classic Credit Card","0.25","","","","","0.25","0.25",""
"IDFC First Bank","IDFC FIRST Earn Credit Card","","","","","","1.00","",""
"IDFC First Bank","IDFC First Mayura Credit Card","0.25","","","","","0.25","0.25",""
"IDFC First Bank","IDFC First Power Credit Card","","","","","","0.25","",""
"IDFC First Bank","IDFC First Power+ Credit Card","","","","","","0.25","",""
"IDFC First Bank","IDFC First Select Credit Card","0.25","","","","","0.25","0.25",""
"IDFC First Bank","IDFC FIRST WOW Credit Card","0.25","","","","","","0.25",""
"IndusInd Bank","IndusInd Bank Legend Credit Card","0.75","0.60","0.60","1.00","","0.50","0.75",""
"IndusInd Bank","IndusInd Bank NEXXT Credit Card","1.00","","","0.25","","0.75","1.00",""
"IndusInd Bank","IndusInd Bank Pinnacle Credit Card","1.00","1.00","1.00","1.00","","0.75","1.00",""
"IndusInd Bank","IndusInd Bank Platinum Aura Credit Card","0.35","0.35","0.35","0.50","","0.40","0.35",""
"IndusInd Bank","IndusInd Bank Platinum Aura Edge Credit Card","0.50","0.50","0.50","0.50","","0.40","0.50",""
"IndusInd Bank","Indusind Platinum Credit Card","0.60","0.60","0.60","0.60","","0.40","0.60",""
"IndusInd Bank","Indusind Platinum RuPay Credit Card","0.85","0.85","0.85","0.85","","0.40","0.85",""
"Kotak Mahindra Bank","IndianOil Kotak Rupay Credit Card","0.25","","","","","0.25","0.25",""
"Kotak Mahindra Bank","Kotak 811 Credit Card","0.25","","","","","0.25","0.25",""
"Kotak Mahindra Bank","Kotak Delight Platinum Credit Card","0.10","","","","","0.10","0.10",""
"Kotak Mahindra Bank","Kotak Essentia Platinum Credit Card","1.00","","","","","1.00","1.00",""
"Kotak Mahindra Bank","Kotak IndiGo Ka-ching 6E Rewards Credit Card","","","","1.00","","","",""
"Kotak Mahindra Bank","Kotak IndiGo Ka-ching 6E Rewards XL Credit Card","","","","1.00","","","",""
"Kotak Mahindra Bank","Kotak League Platinum Credit Card","0.10","","","","","0.10","0.10",""
"Kotak Mahindra Bank","Kotak Mojo Platinum Credit Card","0.25","","","","","0.40","0.25",""
"Kotak Mahindra Bank","Kotak Privy League Signature Card","0.25","","","","","","0.25",""
"Kotak Mahindra Bank","Kotak Royale Signature Credit Card","0.25","","","","","0.25","0.25",""
"Kotak Mahindra Bank","Kotak Urbane Gold Credit Card","0.10","","","","","0.10","0.10",""
"Kotak Mahindra Bank","Kotak Wealth Management Infinite Credit Card","0.25","","","","","","0.25",""
"Kotak Mahindra Bank","Kotak Zen Signature Credit Card","0.25","","","","","0.25","0.25",""
"RBL Bank","IndianOil RBL XTRA","0.50","","","","","","","IndianOil RBL Bank XTRA Credit Card"
"RBL Bank","RBL Bank Paisabazaar DUET Credit Card","","","","","","1.00","",""
"SBI Cards","Air India SBI Platinum Card","","","","1.00","","","",""
"SBI Cards","Air India SBI Signature Card","","","","1.00","","1.00","",""
"SBI Cards","Apollo SBI Card","1.00","","","","","1.00","",""
"SBI Cards","BPCL SBI Card","0.25","","","","","0.25","0.25",""
"SBI Cards","Etihad Guest SBI Card","","","","1.00","","","",""
"SBI Cards","IRCTC SBI Card Premier","1.00","","","","","","",""
"SBI Cards","IRCTC SBI Platinum Card","1.00","","","","","","",""
"SBI Cards","KrisFlyer SBI Card Apex","","","","1.00","","","",""
"SBI Cards","PULSE SBI Card","0.25","","","","","0.25","0.25",""
"SBI Cards","SBI Card ELITE","0.25","","","","","0.25","0.25",""
"SBI Cards","SBI Card PRIME","0.25","","","","","0.25","0.25",""
"SBI Cards","SimplyCLICK SBI Card","0.25","","","","","","0.25",""
"SBI Cards","SimplySAVE SBI Card","0.25","","","","","0.25","0.25",""
"SBI Cards","Yatra SBI Card","0.25","0.25","0.25","","","","",""
"SBM Bank","Paisabazaar SBM Step Up Credit Card","","","","","","0.25","",""
"Standard Chartered","SCB Ultimate Credit Card","1.00","0.50","","0.25","0.50","1.00","0.50","Standard Chartered Ultimate Credit Card"
"Standard Chartered","Standard Chartered EaseMyTrip Credit Card","0.25","","","0.25","","0.25","0.25",""
"Standard Chartered","Standard Chartered Manhattan Platinum Credit Card","0.25","","","0.25","","0.25","0.25",""
"Standard Chartered","Standard Chartered Platinum Rewards Credit Card","1.00","","","0.25","","1.00","0.50",""
"Standard Chartered","Standard Chartered Smart Credit Card","0.25","","","0.25","","0.25","0.25",""
"Standard Chartered","Standard Chartered Super Value Titanium Credit Card","0.25","","","0.25","","0.25","0.25",""
"YES Bank","YES Bank Reserv Credit Card (previously YES FIRST Exclusive)","0.25","","","0.25","0.25","","0.25",""
"YES Bank","YES Marquee","0.25","","","0.25","","","0.25",""